Earl Grey Tee Regular,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,False,0
Grüner Tee Regular,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,False,0
Fresh Mint Tee Regular,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,False,0
McFlurry® Original OREO® Schoko-Sauce,204.0,1817.0,432.0,14.0,9.4,68.0,56.0,1.9,7.7,0.63,,False,0
McFlurry® Original Schokolinsen Karamell-Sauce,219.0,2115.0,501.0,14.0,9.7,86.0,68.0,0.9,7.0,0.2,,False,0
McFlurry® Original Schokolinsen Schoko-Sauce,215.0,2056.0,489.0,16.0,12.0,76.0,71.0,2.2,7.9,0.47,,False,0
McFlurry® Original,142.0,833.0,197.0,5.2,3.8,33.0,30.0,0.0,4.8,0.03,,False,0
McSundae® Original Schoko-Sauce,152.0,1200.0,285.0,8.4,6.4,46.0,43.0,0.7,5.5,0.25,,False,0
McSundae® Original Karamell-Sauce,154.0,1207.0,286.0,6.1,4.1,53.0,38.0,0.0,4.7,0.28,,False,0
"McMilchshake Erdbeer Schoko-Sauce 0,4l",314.0,1838.0,436.0,10.0,7.6,76.0,70.0,0.7,9.5,0.48,,False,0
"McMilchshake Erdbeer Schoko-Sauce 0,25l",211.0,1348.0,320.0,7.9,6.1,55.0,51.0,0.7,6.6,0.39,,False,0
"McMilchshake Schoko Karamell-Sauce 0,4l",317.0,1947.0,461.0,8.3,5.9,86.0,62.0,1.1,9.4,0.62,,False,0
"McMilchshake Schoko Karamell-Sauce 0,25l",214.0,1427.0,338.0,5.9,4.1,64.0,44.0,0.7,6.2,0.44,,False,0
"Milchshake Schokogeschmack 0,4l",276.0,1375.0,326.0,6.4,4.3,57.0,48.0,1.1,8.9,0.62,,False,0
"Milchshake Schokogeschmack 0,25l",173.0,859.0,203.0,4.0,2.7,36.0,30.0,0.7,5.5,0.39,,False,0
"Milchshake Erdbeergeschmack 0,4l",276.0,1335.0,316.0,5.9,3.9,58.0,54.0,0.0,8.1,0.3,,False,0
"Milchshake Erdbeergeschmack 0,25l",173.0,834.0,197.0,3.7,2.5,36.0,33.0,0.0,5.1,0.19,,False,0
"Milchshake Vanillegeschmack 0,4l",276.0,1325.0,313.0,5.9,3.9,57.0,52.0,0.0,8.1,0.29,,False,0
"Milchshake Vanillegeschmack 0,25l",173.0,828.0,196.0,3.7,2.5,36.0,33.0,0.0,5.1,0.18,,False,0
Heiße Cookies &amp;  Cream Tasche,80.0,1162.0,278.0,17.0,6.7,28.0,12.0,1.0,3.6,0.48,,False,0
Heiße Apfeltasche,80.0,955.0,228.0,12.0,2.8,28.0,9.2,1.5,2.3,0.33,,False,0
"McFrappé Choc 0,4l",415.0,2294.0,545.0,16.0,12.0,88.0,78.0,1.5,11.0,0.58,,False,0
"McFrappé Choc 0,3l",346.0,1950.0,463.0,14.0,11.0,74.0,65.0,1.3,9.1,0.52,,False,0
Katjes Chocjes Caramel vegan,30.0,700.0,168.0,11.0,5.6,17.0,14.0,9.0,1.0,2.4,,False,0
McFlurry® Wahlzutat MARS®,36.0,719.0,171.0,7.1,4.1,25.0,21.0,0.4,1.5,0.11,,False,0
McFlurry® Wahlzutat OREO®,24.0,480.0,114.0,4.8,1.3,16.0,8.9,0.7,1.2,0.18,,False,0
McFlurry® Wahlzutat Schokolinsen,36.0,721.0,172.0,7.2,4.7,25.0,24.0,0.9,1.5,0.05,,False,0
Wahlzutat Schoko-Sauce,38.0,533.0,127.0,4.2,3.4,20.0,18.0,0.7,1.6,0.23,,False,0
Wahlzutat Karamell-Sauce,41.0,561.0,133.0,1.9,1.3,28.0,14.0,0.0,0.7,0.12,,False,0
